…分之… | Fraction
看花 | To look at flowers
看要 | To examine
看见 | Catch sight of
看请 | Look at me
看货 | To examine goods
看起 | To appear
看起来 | Look
看轻 | To look down on
看过 | Have seen
看选自 | As translated by
看透 | See through
看重 | Value
看雪 | Watching snow
看雪张 | Zhang Kanxue
看顾 | Watch over
看鱼 | To watch fish
真不容易 | Really difficult
真不该 | Really shouldn't
真个 | Truly
真为 | Truly
真乐 | Truly happy
真人 | Real person
真令人 | Truly amazing
真会 | Really clever
真伪 | Authenticity
真使 | Truly make
真值表 | Truth table
真假 | True or false
真像 | Lifelike
真共假 | Truth and falsehood
真切 | Sincere
真切感 | Genuine feeling
真叫 | Really
真叫人 | Really amazing
真合 | Perfectly fitted
真名实姓 | Real name and surname
真吾志 | My true aspiration
真善美 | Truthfulness
真够 | Truly sufficient
真大 | Really big
真好 | Really good
真如 | Tathata
真姓 | True Surname
真实 | 
真实写照 | True depiction
真实可信 | Authentic
真实性 | Authenticity
真实情况 | Real Situation
真实感 | Sense of reality
真实自我 | True self
真对不起 | Truly sorry
真干过 | Actually did it
真得算个 | Really need to calculate
真心 | Sincere
真心诚意 | Sincere
真心话 | Truthful words
真快 | Really fast
真性 | Genuine
真情 | True feeling
真情实感 | Genuine feelings
真想 | Really want
真意 | True meaning
真成了 | It really happened
真挚 | Sincere
真是 | Really
真是太 | Really
真是的 | Really
真有 | Truly genuine
真核 | Nucleus
真棒 | Really great
真正 | Truly
真率 | Frank and straightforward
真理 | Truth
真疯 | Genuine madness
真的 | Really
真相 | Truth
真真 | True
真真假假 | True and false
真真切切 | Truly
真知 | True knowledge
真空 | Vacuum
真算得 | Truly calculated
真纳 | Jinnah
真经 | Canonical scripture
真绿 | Truly green
真美能 | Truly beautiful
真菌 | Fungus
真菜 | Real food
真要命 | Truly exhausting
真见 | Genuine
真让人 | Truly amazing
真诚 | Sincere
真诚地 | Sincerely
真诚待人 | To treat people with sincerity
真话 | Truth
真谛 | True meaning
真阿长 | Zhen Long
真面目 | True face
眨眼 | Blink
眨眼睛 | Blink one's eyes
眩晕 | Vertigo
眯着 | Squinting
眯着眼 | Squinting eyes
眷属 | Family
眷恋 | Fond of
眷顾 | To cherish
眺望 | Gaze
眺许 | Surveying the distance
眼上 | Above the eyes
眼下 | At present
眼中 | In one's eyes
眼保健操 | Eye exercises
眼光 | Vision
眼前 | 
眼前一亮 | A sudden flash of insight
眼前利益 | Immediate interests
眼动 | Eye movement
眼压 | Eye pressure
眼向 | Eye direction
眼呆 | Wide-eyed
眼学 | Observation learning
眼山朗润 | Clear and Bright Landscape
眼帘 | Eyes
眼底 | Retina
眼当 | Eye-catching
眼掉 | To blink rapidly
眼望 | Gazing
眼条 | Eye spot
眼注 | Eye alignment
眼泪 | Tear
眼点 | Eye contact
眼珠 | Pupil
眼珠儿 | Eye roll
眼珠子 | Wide eyes
眼球 | Eyeball
眼界 | Vision
眼皮 | Eyelids
眼目 | Eyes
眼看 | See
眼眶 | Eye socket
眼眶里 | In the eyes
眼睁睁 | Wide-eyed
眼睑 | Eyelid
眼睛 | Eye
眼瞎 | Stupid
眼神 | Eyesight
眼福 | A visual delight
眼科 | Ophthalmology
眼窝 | Yan Wo
眼等 | Eyes
眼红 | Jealous
眼纹 | Wrinkles around the eyes
眼耳 | Eyes and ears
眼色 | Look
眼花缭乱 | Stunning
眼虫 | Eye worm
眼见 | To see with one's own eyes
眼见得 | To have seen with one's own eyes
眼观 | Peripheral Vision
眼角 | Corner of the eye
眼角膜 | Cornea
眼轴 | Axis Length
眼轴长 | Axial Length
眼部 | Eye
眼里 | In the eyes
眼镜 | Glasses
眼镜片 | Eyeglass lens
眼镜蛇 | Spectacled Cobra
眼霜 | Eye shadow
眼高 | High-browed
着体 | Related to the body
着力 | Focus on
着力点 | Point of force
着动 | Moving
着墨 | Attention
着实 | Really
着急 | Anxious
着想 | Consider
着意 | To pay attention to
着手 | Start
着火 | Catch fire
着火点 | Ignition point
着生 | Attached
着眼 | Focus on
着眼于 | Focus on
着眼点 | Focus
着色 | Coloring
着落 | Outcome
着装 | Outfit
着貌 | Fitted
着迷 | Fascinated
着重 | Emphasize
着重描写 | Detailed description
着重点 | Key point
着陆 | Landing
睁不开 | Unable to open one's eyes
睁大眼睛 | Open Your Eyes Wide
睁开 | Open
睁开眼 | Open one's eyes
睁开眼睛 | Open Your Eyes
睁眼 | Open one's eyes
睁眼瞎 | Blind man
睡不着 | Unable to sleep
睡午觉 | Take a nap
睡大觉 | Sleep in
睡姿 | Sleeping position
睡得 | Sleeping
睡意 | Sleepiness
睡梦中 | In sleep
睡点 | To sleep a little
睡相 | Sleeping habits
睡眠 | Sleep
睡眠不足 | Sleep deprivation
睡眼 | Drowsy
睡眼惺忪 | Drowsy
睡着 | Fall asleep
睡美人 | Sleeping Beauty
睡莲 | Water lilies
睡袋 | Sleeping bag
睡觉 | Sleep
睡觉时 | While sleeping
睡足 | To have slept enough
睡醒 | Wake Up
睡里 | In sleep
睢宁 | Suining
督促 | Supervise
督办 | Supervise
督学 | School inspector
督察 | To supervise
督师 | Supervisor
督战 | Oversee battle
督署 | Governor's office
督行阵 | To supervise and lead an army formation
睥睨 | To look down on
睦邻友好 | Friendly neighborhood policy
睫毛 | Eyelashes
睫状体 | Ciliary Body
睫状肌 | Ciliary muscle
睹物思人 | Thinking of people when seeing objects
睾丸 | Testicles
睾酮 | Testosterone
睿智 | Wise
瞄准 | Aim at
瞌睡 | Sleepy
瞎掉 | Go blind
瞎猜 | Wild guess
瞎话 | Nonsense talk
瞎说 | Nonsense
瞑意暇 | Meditative calm
瞒不过 | Cannot be concealed
瞟一眼 | Glance at
瞥见 | Glance
瞧不起 | Look down on
瞧瞧 | Take a look
瞧见 | See
瞩望 | To look forward to
瞩目 | Attract attention
瞪眼 | Stare with wide eyes
瞬息 | In an instant
瞬息万变 | Changing in the Blink of an Eye
瞬间 | Moment
瞭望 | Observation
瞭高儿 | Liao Gaoer
瞳仁 | Iris
瞳孔 | Pupil
瞳孔放大 | Pupil dilation
瞻仰 | Respect
瞻望 | Look ahead
瞻波 | Observe the waves
瞿塘峡 | 瞿jiang Gorge
瞿希贤 | Qu Yixian
瞿秋白 | Qu Yuanqing
瞿维焕 | Qu Weihan
矗立 | Stand
矛头 | Spearhead
矛盾 | Contradiction
矛盾加剧 | Intensified Conflict
矛盾激化 | Escalation of conflict
矛盾重重 | Deeply contradictory
矜同 | Similar
矜寡 | Married life
矜持 | Dignified
矢志 | To be determined
矢志不渝 | Steadfast
矢量 | Vector
矣哉 | - An emphatic particle expressing affirmation or conclusion
知与行 | Knowing and doing
知之濠 | Knowing the濠
知之者 | Those who know
知人之明 | Knowing people's wisdom
知信 | To know and believe
知其 | To know
知凡 | Knowing the mundane
知出 | Knowing the source
知县 | County magistrate
知名 | Famous
知名度 | Fame
知君君 | Friend
知困 | To know one's difficulties
知困知 | Knowing one's predicament
知多少 | How much
知天命 | Know the mandate of heaven
知子 | To know one's child
知安可 | Knowing when to be calm and when to act
知射乎 | Do you know archery?
知州 | Zhizhou - County Magistrate
知己 | Bosom friend
知恩 | Gratitude
知悉 | To be informed
知情权 | Right to Know
知春 | Know the spring
知晓 | To know
知汝远 | Knowing of you afar
知耻 | Know shame
知耻而后勇 | Know shame then be brave
知臣 | A knowledgeable minister
知至 | Know that knowing is essential
知觉 | Consciousness
知识 | Knowledge
知识产权 | Intellectual property
知识分子 | Intellectual
知识库 | Knowledge base
知识性 | Knowledge-based
知识点 | Key Point
知识青年 | Young knowledgeable people
知读 | To understand
知足 | Content
知足常乐 | Contentment is happiness
知道 | Know
知错就改 | Admit mistakes and correct them
知难而进 | To learn from difficulties and advance
知难而退 | Know when to retreat
知青 | Red youth
知音 | True Friend
矩形 | Rectangle
矩要 | Rectangle
矩阵 | Matrix
矫举 | Climbing
矫健 | Agile
矫全 | Corrected
矫揉造作 | Affected
矫正 | Correct
矫正视力 | Correct vision
矫治 | Rehabilitation
矫首 | Turning the head sharply
短促 | Brief
短信 | Text message
短元音 | Short vowels
短刚 | Short-lived
短制 | Short system
短剧 | Short drama
短句 | Short sentence
短命 | Short-lived
短图 | Short sketch
短处 | Shortcoming
短小 | Short
短小精悍 | Compact and efficient
短尾 | Short tail
短工 | Temporary labor
短弱 | Short and weak
短打 | Short-sleeved garment
短接 | Short circuit
短文 | Short essay
短时期 | Short Period
短时间 | Short time
短暂 | Short
短期 | Short-term
短期内 | Short-term
短板 | Weakness
短棍 | Short stick
短棒 | Short stick
短歌 | Ballad
短歌行 | Short song
短波 | Shortwave
短浅 | Superficial
短片 | Short film
短直 | Short and straight
短短 | Short
短短几天 | In just a few days
短短的 | Short
短秤 | Small scale
短程 | Short distance
短笛 | Recorder
短篇小说 | Short story
短线 | Short line
短绳 | Short rope
短缺 | Shortage
短者 | Shortest
短而弱 | Short and weak
短衣 | Short garment
短袜 | Short socks
短裤 | Shorts
短褂 | Short jacket
短诗 | Short poems
短语 | Phrase
短跑 | Sprinting
短距离 | Short distance
短路 | Short circuit
短身 | Short-bodied
短述 | Brief Account
短途 | Short-distance
短道 | Short track
矮墙 | Low wall
矮子 | Little guy
矮小 | Short
矮松 | Dwarf pine
矮树 | Dwarf tree
矮树丛 | Low-growing shrubs
矮汉 | Short man
矮矮的 | Short and short
矮缩 | Dwarf
矮胖 | Short and stout
矮长 | Wei Long
石上 | On stone
石二 | Stone Two
石像 | Stone statue
石决明 | Stone Fruit
石制 | Stone
石刻 | Carving
石化 | Petrochemical
石匠 | Stonemason
石印 | Stone Rubbing
石嘴山市 | Shijiazhuang City
石器 | Stone tools
石器时代 | Stone Age
石围 | Stone wall
石块 | Stones
石墓 | Stone grave
石墨 | Graphite
石墨电极 | Graphite electrode
石壁 | Stone Wall
石壕 | Shigao (referring to a historical event
石壕吏 | Stone Grave Officer
石头 | 
石头砸 | Stone throw
石头记 | Stone Script
石子 | Pebble
石家庄 | Shijiazhuang
石家庄市 | Shijiazhuang
石寸寸 | Tiny stones
石将 | Stone Warrior
石岸 | Stone Shore
石广元 | Shi Guangyuan
石床 | Stone bed
石底 | Stone bottom
石座 | Stone seat
石弄 | Stone pavilion
石当 | Stone support
石拱 | Stone Arch
石拱桥 | Arch bridge
石擦出 | Stone is wiped out
石敬瑭 | Shi Jingtang
石斋 | Stone Pavilion
石斑鱼 | Grouper
石料 | Stone material
石景山 | Shijing Mountain
石景山区 | Shijingshan District
石材 | Stone
石板 | Stone slab
石柱 | Stone pillar
石柱土家族自治县 | Shizhu Tujiazu autonomous county
石栏 | Stone railing
石栏杆 | Stone railing
石桥 | Stone bridge
石梁 | Stone beam
石梯 | Stone steps
石棉 | Asbestos
石棉网 | Asbestos mesh
石榴 | Pomegranate
石油 | 
石油价格 | Oil prices
石油化学 | Petrochemical
石油化工 | Petrochemical
石油危机 | Oil Crisis
石油市场 | Oil Market
石油气 | Natural gas
石油资源 | Petroleum Resources
石油输出 | Oil Production
石油输出国组织 | OPEC
石涛 | Rippling waves
石灰 | Lime
石灰乳 | Lime water
石灰岩 | Limestone
石灰水 | Lime water
石灰石 | Limestone
石灰质 | Calcareous
石炭纪 | Carboniferous period
石版 | Lithographic printing
石狮 | Stone lion
石狮子 | Stone lion
石用 | Stone Tool
石由 | Stone block
石砌 | Stone construction
石破天惊 | Thunderous
石碑 | Stele
石窟 | Cave temple
石窟寺 | Cave temples
石笔 | Stone pen
石筑 | Stone construction
石约 | Stone estimate
石级 | Stone steps
石羊 | Stone sheep
石膏 | Plaster
石花 | Stone flowers
石花菜 | Stone flower vegetable
石英 | Quartz
石英钟 | Quartz clock
石蕊 | Flourescent
石蕊溶液 | Litmus solution
石蕊试纸 | litmus paper
石蜡 | Beeswax
石补天 | Stone mends the sky
石象 | Stone carving
石质 | Stone-like
石达开 | Shi Dazu
石逼得 | Stone-bound
石钢 | Iron ore
石门 | Shimen
石间 | Between stones
石雕 | Stone Carving
石青 | Jade green
石面 | Stone Surface
石马 | Stone horse
石鳖 | Mud snail
矿业 | Mining industry
矿井 | Mine
矿产 | Mineral
矿产资源 | Mineral Resources
矿务局 | Mining affairs bureau
矿区 | Mining area
矿哈 | Mine Ha
矿山 | Mine
矿工 | Miner
矿床 | deposit
矿泉水 | Mineral water
矿泉水瓶 | Bottled Water
矿灯 | Mine Lantern
矿物 | Minerals
矿物学 | Mineralogy
矿物质 | Mineral substance
矿石 | Ore
矿藏 | Mineral resources
砀天 | Under the sky
砀郡 | Dang (ancient state
码头 | Dock
码放 | Storage
码是 | Code is
砂岩 | Sandstone
砂糖 | Granulated sugar
砂纸 | Sandpaper
砂轮 | Sandpaper
砌墙 | Build walls
砌成 | Built
砌缝 | To lay bricks
砍伐 | To cut down
砍伐森林 | To clear-cut forests
砍头 | To execute .
砍掉 | To cut off
砍断 | Cut off
砍杀 | Butchering
砍柴 | Chop wood
砍树 | To chop down trees
砒霜 | Arsenic
研习 | Study
研判 | Analyze
研制 | Develop
研制中心 | Research and Development Center
研制成功 | Successfully developed
研发 | R & D
研学 | Field Study
研杵 | Mortar and pestle
研碎 | Grind
研磨 | Grind
研究 | Research
研究会 | Research Society
研究员 | Researcher
研究室 | Research room
研究成果 | Research findings
研究所 | Research institute
研究生 | Graduate student
研究生院 | Graduate School
研究者 | Investigator
研究课题 | Research topic
研究进展 | Research progress
研究院 | Research Institute
研究院所 | Research Institute
研讨 | Discuss
研讨会 | Discussion forum
研读 | To study carefully
研钵 | Mortar
砖冰蜡 | Brick
砖块 | Bricks
砖墙 | Brick wall
砖头 | Brick
砖来 | Bricks
砖瓦 | Brick and tile
砖瓦房 | Brick and tile house
砖石 | Bricks and stones
砖造 | Brickwork
砖雕 | Brick carving
砚台 | Ink stone
砚池 | Inkstone basin
砝码 | Weights
砥砺 | Perseverance
砧板 | Cleaver
砰砰 | slam
破产 | Bankrupt
破伤风 | Tetanus
破冰船 | iceboat
破口 | Crack
破口大骂 | To curse
破土 | groundbreaking
破土动工 | Breaking ground
破坏 | Destroy
破坏力 | Destructive power
破坏性 | Destructive
破坏活动 | Sabotage activities
破壳 | Break shell
破布 | Ripped fabric
破庙 | Ruined temple
破得 | Can be broken
破折号 | Dash
破损 | Damaged
破旧 | Shabby
破晓 | Dawn
破案 | Solve a case
破楚 | To conquer or destroy Chu
破灭 | Disintegrate
破烂 | Ragged
破破烂烂 | Ragged
破碎 | Broken
破肚 | To pierce the abdomen
破获 | Solved
破落 | Torn
破落户 | A ruined household
破袭 | Raid
破袭战 | Raid Warfare
破裂 | Break
破解 | Crack
破译 | Decipher
破败 | Dilapidated
破阵子 | Broken Formation
破陋 | Dilapidated
破除 | Abolish
砷化镓 | Gallium arsenide
砸碎 | Smash to pieces
砻市 | Longshi
砾岩 | Gravel
砾石 | Gravel
硅单 | Polysilicon
硅单晶 | Polycrystalline silicon
硅橡胶 | Silicone
硅藻 | Diatoms
硅谷 | Silicon Valley
硅酸盐 | Silicon carbonate
硕士 | Master
硕士学位 | master's
硕士生 | Master's student
硕大 | Huge
硕师 | Great Teacher
硕果 | Fruit
硕果累累 | With abundant results
硝化棉 | Nitrocellulose
硝基苯 | Nitrobenzene
硝烟 | Smoke from gunpowder
硝烟弥漫 | Smoke-filled
硝酸 | Nitric acid
硝酸钠 | Sodium nitrate
硝酸钾 | Potassium nitrate
硝酸铵 | Ammonium Nitrate
硫代硫酸钠 | Sodium thiosulfate
硫化 | Sulfidation
硫化氢 | Hydrogen sulfide H2S
硫氧等 | Sulfur oxides etc.
硫氯 | Sulfur Chloride
硫酸 | Sulfuric acid
硫酸亚铁 | Ferrous sulfate
硫酸根 | Sulfate
硫酸钙 | Calcium sulfate
硫酸钠 | Sodium sulfate
硫酸钡 | Barium sulfate
硫酸铜 | Copper sulfate
硫酸铝 | Aluminium sulfate
硫酸铵 | Ammonium sulfate
硫酸镁 | Magnesium sulfate
硫钠 | Sodium sulfide
硫铁 | Iron pyrite
硫锂 | Lithium sulfide
硬件 | Hardware
硬件平台 | Hardware platform
硬伤 | Serious flaw
硬化 | Hardening
硬壳 | Hard shell
硬实 | Hard and solid
硬山 | Hard-hipped Roof
硬币 | Coin
硬干 | To work hard
硬度 | Hardness
硬想 | Stubbornly think
硬是 | Insisted
硬朗 | Tough
硬木 | Hardwood
硬水 | Hard water
硬汉子 | Tough guy
硬盘 | Hard disk
硬盘容量 | Hard disk capacity
硬着头皮 | Bear the brunt
硬磁盘 | Hard drive
硬笔书法 | Seal Script Calligraphy
硬纸 | Hard paper
硬纸板 | Hard cardboard
硬质 | Hard
硬逼 | Force
硬道理 | Hard Facts
硬领 | Collar
确乎 | Indeed
确保 | 
确保安全 | Ensure safety
确信 | Be sure
确凿 | Conclusive
确凿证据 | Solid evidence
确切 | Exact
确图 | Detailed map
确塑 | Concrete
确定 | 
确定性 | Certainty
确实 | 
确指爷 | Clearly refers to the old man
确据 | Firm evidence
确是 | Indeed
确有 | Indeed
确确实实 | Indeed
确立 | Establish
确认 | Confirm
确诊 | Diagnose
硼砂 | Borax
碉堡 | Fortified position
碌碌无为 | To live a meaningless life
碍事 | Be in the way
碍于情面 | Due to circumstances
碍于面子 | Due to face
碎了心 | Broken Heart
碎块 | Fragment
碎屑 | Fragments
碎布 | Pieces of cloth
碎成 | Crush into pieces
碎末 | Fragments
碎片 | Fragment
碎石 | Gravel
碎石块 | Loose stones
碎笔 | Broken pen
碎裂 | To disintegrate
碎首 | To be decapitated
碑亭 | Stele pavilion
碑刻 | Stone Carvings
碑座 | Stele base
碑心 | Stone Tablet
碑文 | Inscription
碑林 | The Forest of Steles
碑碣 | Stone Tablets
碑身 | Base of a monument
碑顶 | Top of a stele
碗儿 | Bowl
碗柜 | Cupboard
碗碟 | Bowls and Dishes
碗筷 | Bowls and chopsticks
碘化钾 | Potassium iodide
碘液 | Iodine solution
碘酒 | Iodine solution
碘酸钾 | Potassium Iodate
碟子 | Record
碟形 | Disc-shaped
碣石 | Gelishi (a place name
碧桃 | Jade peach
碧水 | Blue water
碧波 | Emerald waves
碧清 | Clear Blue
碧溪 | Emerald stream
碧玉 | Jadeite
碧玉簪 | Jade Charm
碧空 | Azure Sky
碧绿 | Emerald green
碧血 | Jade blood
碧霄 | Azure sky
碰上 | Meet
碰倒 | Knock over
碰击声 | Sound of impact
碰到 | Meet
碰到问题 | Encountering Problems
碰壁 | To hit a wall
碰头 | 
碰巧 | By chance
碰掉 | Drop
碰撞 | Collision
碰着 | Touching
碰脚 | Foot pressing
碰见 | Run into
碰触 | Touch
碰钉子 | Meet with rejection
碱土金属 | Alkaline earth metal
碱基对 | Base pair
碱性 | Alkaline
碱金属 | Alkali metal
碳中 | Carbon neutral
碳净 | Net carbon
碳原子 | Carbon atom
碳受 | Carbon electrode
碳氢 | Carbon-hydrogen
碳氢化合物 | Hydrocarbons
碳氧 | Carbon monoxide
碳氧氢 | Carbon dioxide and hydrogen
碳氧钙 | Carbon dioxide calcium
碳氧钠 | Carbon oxygen sodium
碳水化合物 | Carbohydrate
碳素墨水 | Carbon ink
碳纳米管 | Carbon nanotubes
碳能 | Carbon energy
碳酸 | Carbonated
碳酸氢钠 | Sodium bicarbonate
碳酸氢铵 | Ammonium bicarbonate
碳酸盐 | Carbonate salt
碳酸钙 | Calcium carbonate
碳酸钠 | Sodium carbonate
碳酸钾 | Potassium carbonate
碾出 | Rolled out
碾庄 | Runzhang
碾成 | Crushed into powder
碾碎 | To grind to powder
磁些 | Magnets
磁体 | Magnet
磁共振 | Magnetic resonance
磁化 | Magnetization
磁卡 | Magnetic card
磁图 | Magnetic Map
磁场 | Magnetic field
磁头 | Magnetic Head
磁州窑 | Majiayou Kiln
磁带 | Tape
磁性 | Magnetism
磁性材料 | Magnetic Materials
磁悬浮列车 | Magnetic levitation train
磁感线 | Magnetic field line
磁效应 | Magnetic effect
磁暴 | Geomagnetic storm
磁来 | Magnetic
磁极 | Magnetic pole
磁浮 | Magnetic Levitation
磁生 | Magnetic
磁甲 | Magnetic plate
磁电 | Magnetoelectric
磁电式 | Magnetoelectric
磁盘 | Disk
磁石 | Magnet
磁能 | Magnetic energy
磁记录 | Magnetic recording
磁通 | Magnetic flow
磁通量 | Magnetic flux
磁针 | Magnet
磁铁 | Magnet
磁铁矿 | Magnetite
磅礴 | Magnificent
磊落 | Dignified
磋商 | Consult
磐石 | Solid as a rock
磕头 | Bowing one's head
磕破 | Break
磕磕巴巴 | Hesitantly
磕磕绊绊 | Stumbling
磨光 | Polished
磨刀 | Sharpening a knife
磨刀石 | Whetstone
磨刀霍霍 | Sharp swords gleam
磨制 | Polishing
磨合 | Run-in
磨坊 | Mill
磨坊主 | Mill owner
磨好 | To grind
磨工 | Mill worker
磨得赛 | Worn smooth
磨成 | Ground into
磨折 | Worn down and bent
磨损 | Wear and tear
磨洗 | Grind and Wash
磨炼 | To refine
磨砂 | Frosted
磨破 | Worn out
磨砺 | Refine
磨碎 | Ground or crushed
磨穿 | To grind through
磨花 | Wear down
磨蹭 | Procrastinate
磨过 | Grind Past
磨难 | Hardship
磷火 | Phosphorescent light
磷脂 | Phospholipid
磷虾 | Prawns (specifically
磷酸 | Phosphoric acid
磷酸盐 | Phosphate
磷酸铵 | Ammonium phosphate
磻溪 | Kexi River
礁石 | Reef
示人 | To show
示从 | As shown from
示众 | Public demonstration
示例 | Example
示儿 | To show
示威 | Demonstrate
示威游行 | Demonstration March
示弱 | Show weakness
示意 | Signal
示意图 | Diagram
示数 | Reading
示波器 | Oscilloscope
示范 | Demonstrate
示范区 | Demonstration zone
示范性 | Model
示范村 | Demonstration village
礼义 | Ritual propriety
礼之端 | The principle of propriety
礼乎 | Ritual
礼仪 | Etiquette
礼仪之邦 | Land of etiquette
礼佛 | Religious Buddha
礼出 | To show respect
礼则 | Rules of etiquette
礼品 | Gift
礼器 | Ritual objects
礼堂 | Auditorium
礼守礼 | Observing etiquette
礼帽 | Top hat
礼拜 | Worship
礼拜一 | Monday
礼拜五 | Friday
礼拜堂 | Chapel
礼拜天 | Sunday service
礼教 | Confucian Customs
礼数 | Etiquette
礼是 | Etiquette
礼服 | Formal dress
礼毕 | Ceremony concluded
礼法 | Etiquette and law
礼炮 | Ceremony Cannons
礼物 | Gift
礼聘 | Gifts and offerings
礼节 | Etiquette
礼节性 | Formal
礼花 | Firework
礼让 | Courtesy
礼记 | The Book of Rites
礼貌 | Polite
礼贤下士 | To treat talented and virtuous people with deference
礼赞 | Praise
礼起势 | Salute
礼运 | Grace
礼运中 | Within the framework of etiquette
礼遇 | Courtesy
礼部 | Ministry of Rites
礼金 | Gift money
礼魂 | Spirit of propriety
社主任 | Party Secretary
社交 | Social contact
社交活动 | Social event
社交生活 | Social life
社会 | 
社会主义 | Socialism
社会主义者 | Socialist
社会交往 | Social interaction
社会保险 | Social Insurance
社会保障 | Social security
社会党 | Socialist party
社会公众 | Public
社会公德 | Social ethics
社会关系 | Social relations
社会分工 | Social division of labor
社会制度 | Social System
社会化 | Socialization
社会变革 | Social change
社会史 | Social history
社会各界 | All sectors of society
社会学 | Sociology
社会学家 | Sociologist
社会安定 | Social Stability
社会工作 | Social Work
社会底层 | Lower class
社会性 | Social
社会效益 | Social benefits
社会民主工党 | Social Democratic Party
社会治安 | Social order
社会活动 | Social activities
社会活动家 | Social activist
社会现状 | Social situation
社会福利 | Social Welfare
社会科学 | Social sciences
社会科学文献出版社 | Social Science Literature Publishing House
社会秩序 | Social order
社会舆论 | Public Opinion
社会规范 | Social norms
社会贤达 | Eminent figures
社会转型 | Social Transformation
社会风尚 | Social trends
社会风气 | Social atmosphere
社办 | Collective enterprise
社区 | Community
社区服务 | Community service
社区活动 | Community activities
社员 | Member
社哩 | 
社团 | Association
社团活动 | Club activities
社在 | Society
社年 | Village festival
社情民意 | Local sentiment
社戏 | Local Opera
社日 | Festival day
社是 | 
社神 | Shrine Spirit
社科 | Social science
社稷 | The nation and the people
社群 | Community
社论 | Editorial
社评 | Commentary
社里 | Village
社长 | Chairman
祁今 | Present-day Qi
祁县 | Qixian
祁发 | 
祁发宝 | Qifa Bao
祁连 | Qilian Mountains
祁连山 | Qilian
祁门 | Qimen
祈使 | Imperative
祈使句 | Imperative Sentence
祈天 | Pray for good weather
祈年殿 | Praying Hall
祈愿 | Wish
祈求 | Pray
祈盼 | Yearning
祈祷 | Pray
祈福 | To pray for blessings
祈而为 | To pray for good fortune
祈谷 | Pray for rain
祈雨 | To pray for rain
祖传 | Ancestral
祖像 | Ancestor image
祖先 | Ancestor
祖冲之 | Zu Chongzhi
祖国 | Motherland
祖国大陆 | Motherland
祖国统一 | Reunification of China
祖孙 | Grandfather and grandson
祖宗 | Ancestor
祖师 | Ancestral master
祖弘忍 | Zhuhongren
祖指 | Referring to ancestors
祖母 | Grandmother
祖父 | Grandfather
祖父母 | Grandparents
祖祖辈辈 | From generation to generation
祖籍 | Ancestral home
祖训 | Ancestral teachings
祖辈 | Ancestors
祖逖 | Zu Ti
祖鲁人 | Zuru People
祖鲁族 | Zuru People
祝你们 | Best wishes
祝你成功 | Wish you success
祝兹侯 | Wish for this Marquis
祝家庄 | Zhuchajiazhuang
祝寿 | To congratulate on one's birthday
祝愿 | Wish
祝捷 | Send Greetings
祝福 | Bless
祝英台 | Zhu Yingtai
祝贺 | Congratulate
祝贺信 | Congratulatory letter
神之子 | Son of God
神乐 | Divine Pleasure
神人 | Divine man
神仙 | Immortal
神以 | With divine power
神位 | Shrine
神佛 | Gods and Buddhas
神使 | Divine messenger
神像 | Statue
神儿 | A person
神六和神 | God Six and God
神农 | Shennong
神创论 | Creationism
神力 | Divine Power
神助 | Divine Assistance
神化 | Deification
神名 | Divine Name
神圣 | Sacred
神圣不可 | Sacred and Immutable
神圣职责 | Sacred Duty
神奇 | Magical
神奈川县 | Kanagawa Prefecture
神女 | Goddess
神妙 | Mysterious
神威 | Shenwei (Powerful
神学 | Theology
神宙斯 | Zeus
神州 | Divine land
神州大地 | The land of China
神庙 | Temple
神座 | Shrine
神异 | Strange
神弗福 | Not blessed by Heaven
神志 | Consciousness
神志不清 | Mentally confused
神态 | Expression
神态自若 | Calmly
神性 | Divinity
神情 | Expression
神情恍惚 | Dazed
神惧 | Divine fear
神明 | Gods
神曲 | Epic
神权 | Divine authority
神棚 | Shrine pavilion
神殿 | Temple
神气 | Spirited
神游 | Wander aimlessly
神灯 | Magic lamp
神灵 | Gods
神甫 | Priest
神知 | God knows
神社 | Shrine
神神秘秘 | Mysterious
神祠 | Temple
神秀 | Divine beauty
神秘 | Mysterious
神秘性 | Mystery
神秘感 | Sense of mystery
神秘莫测 | Mysterious
神稷 | Shenji
神童 | Prodigy
神经 | Nerve
神经元 | Neuron
神经学 | Neurology
神经病 | Mental disorder
神经系统 | Nervous System
神经细胞 | Nerve cell
神经网络 | Neurological
神经衰弱 | Nervous breakdown
神经过敏 | Jumpy
神而 | With a divine appearance
神职人员 | Clergy
神舟 | Spaceship
神舟五号 | Spaceship Shenzhou 5
神色 | Expression
神色张皇 | Bewildered
神荼郁垒 | 
神蛇 | Divine serpent
神蛇骥 | Divine serpent horse
神袍 | Divine robe
神话 | Myth
神话传说 | Myth
神话学家 | Mythologist
神话故事 | Myth
神语 | Divine speech
神通 | Supernatural powers
神通广大 | Extensive magical powers
神速 | Swiftly
神道 | Shinto
神采 | Radiant appearance
神采奕奕 | Radiant
神采飞扬 | Radiant
神闻 | Divine hearing
神韵 | Aura
神饶 | Divine forgiveness
神鬼 | Heaven and earth
神魔 | Gods and Demons
神鸟 | Divine bird
神龛 | Shrine
神龟 | Divine tortoise
祥云 | Xiangyun
祥兴 | Auspicious prosperity
祥和 | Peaceful
祥子 | Xiangzi
祥林嫂 | Xiang Linshao
祥纪 | Xiang Ji
票主名 | Ticket Holder Name
票价 | Ticket price
票房 | Box office
